Phase_ID,Phase_Name,Market_Regime,Start_Date,End_Date,Trading_Days,Universe,Strategy,Strategy_Description,NIFTY_50_Return_%,Net_Take_Home_Val_Rs,Net_Take_Home_Return_%,Alpha_over_NIFTY_%,Win_Rate_%,Profit_Factor,Max_Drawdown_%,Total_Trades,Total_Charges_Rs,STCG_Tax_Rs,Narrative
4,2018-19 Pre-Election & Tax Cut Range,Consolidation,2018-10-29,2019-12-31,284,Top 50 Champions,Strategy 1,Strategy 1 (Classic Breakout),18.71,101748.63,1.75,-16.96,35.1,1.17,-2.79,168,4325.65,437.16,"Election anticipation, surprise corporate tax cut & rangebound chop"
5,2020 COVID Black Swan Crash,Bear (Crash),2020-01-20,2020-03-24,45,Top 101 Winners,Strategy 2,Strategy 2 (Dynamic Adaptive),-36.19,95129.0,-4.87,31.32,11.5,0.2,-5.24,26,801.77,0.0,"Global pandemic lockdowns, liquidity freeze & acute circuit crash"
5,2020 COVID Black Swan Crash,Bear (Crash),2020-01-20,2020-03-24,45,Top 50 Champions,Strategy 2,Strategy 2 (Dynamic Adaptive),-36.19,98207.79,-1.79,34.4,15.4,0.4,-2.35,13,402.42,0.0,"Global pandemic lockdowns, liquidity freeze & acute circuit crash"
5,2020 COVID Black Swan Crash,Bear (Crash),2020-01-20,2020-03-24,45,Top 50 Champions,Strategy 3,Strategy 3 (Hybrid Optimal),-36.19,99422.07,-0.58,35.61,33.3,0.47,-1.5,9,224.67,0.0,"Global pandemic lockdowns, liquidity freeze & acute circuit crash"
5,2020 COVID Black Swan Crash,Bear (Crash),2020-01-20,2020-03-24,45,Top 50 Champions,Strategy 1,Strategy 1 (Classic Breakout),-36.19,98706.77,-1.29,34.9,15.4,0.29,-1.41,13,331.01,0.0,"Global pandemic lockdowns, liquidity freeze & acute circuit crash"
6,2020-21 Post-COVID Super-Bull Run,Bull (Super),2020-03-25,2021-10-18,388,Top 101 Winners,Strategy 2,Strategy 2 (Dynamic Adaptive),122.14,176050.24,76.05,-46.09,34.2,1.98,-5.11,459,18253.59,19012.56,"Global ZIRP stimulus, V-shaped recovery & retail momentum explosion"
6,2020-21 Post-COVID Super-Bull Run,Bull (Super),2020-03-25,2021-10-18,388,Top 50 Champions,Strategy 2,Strategy 2 (Dynamic Adaptive),122.14,128091.4,28.09,-94.05,32.4,1.87,-4.57,238,8105.87,7022.85,"Global ZIRP stimulus, V-shaped recovery & retail momentum explosion"
6,2020-21 Post-COVID Super-Bull Run,Bull (Super),2020-03-25,2021-10-18,388,Top 50 Champions,Strategy 3,Strategy 3 (Hybrid Optimal),122.14,104825.67,4.83,-117.31,47.2,1.42,-2.31,127,3188.87,1206.47,"Global ZIRP stimulus, V-shaped recovery & retail momentum explosion"
6,2020-21 Post-COVID Super-Bull Run,Bull (Super),2020-03-25,2021-10-18,388,Top 50 Champions,Strategy 1,Strategy 1 (Classic Breakout),122.14,104997.71,5.0,-117.14,38.6,1.26,-3.48,246,6811.14,1249.43,"Global ZIRP stimulus, V-shaped recovery & retail momentum explosion"
7,2021-23 Global Rate Hike Consolidation,Consolidation,2021-10-19,2023-03-31,362,Top 101 Winners,Strategy 2,Strategy 2 (Dynamic Adaptive),-5.75,90017.1,-9.98,-4.23,24.0,0.86,-16.99,450,14171.29,0.0,"Fed aggressive tightening, Russia-Ukraine war & 18-month sideways chop"
7,2021-23 Global Rate Hike Consolidation,Consolidation,2021-10-19,2023-03-31,362,Top 50 Champions,Strategy 2,Strategy 2 (Dynamic Adaptive),-5.75,101444.86,1.44,7.19,26.0,1.05,-8.88,204,6992.73,361.22,"Fed aggressive tightening, Russia-Ukraine war & 18-month sideways chop"
7,2021-23 Global Rate Hike Consolidation,Consolidation,2021-10-19,2023-03-31,362,Top 50 Champions,Strategy 3,Strategy 3 (Hybrid Optimal),-5.75,99437.26,-0.56,5.19,40.4,0.95,-4.13,109,2769.57,0.0,"Fed aggressive tightening, Russia-Ukraine war & 18-month sideways chop"
7,2021-23 Global Rate Hike Consolidation,Consolidation,2021-10-19,2023-03-31,362,Top 50 Champions,Strategy 1,Strategy 1 (Classic Breakout),-5.75,90806.5,-9.19,-3.44,27.2,0.65,-10.7,213,6073.75,0.0,"Fed aggressive tightening, Russia-Ukraine war & 18-month sideways chop"
8,2023-24 Broad-Based Alpha Expansion Bull,Bull,2023-04-03,2024-09-27,366,Top 101 Winners,Strategy 2,Strategy 2 (Dynamic Adaptive),50.47,134031.01,34.03,-16.44,34.1,1.71,-5.16,434,14967.33,8507.75,"Record SIP domestic inflows, capex boom & small/midcap super-rally"
8,2023-24 Broad-Based Alpha Expansion Bull,Bull,2023-04-03,2024-09-27,366,Top 50 Champions,Strategy 2,Strategy 2 (Dynamic Adaptive),50.47,111819.07,11.82,-38.65,31.8,1.61,-4.24,211,6676.6,2954.77,"Record SIP domestic inflows, capex boom & small/midcap super-rally"
8,2023-24 Broad-Based Alpha Expansion Bull,Bull,2023-04-03,2024-09-27,366,Top 50 Champions,Strategy 3,Strategy 3 (Hybrid Optimal),50.47,102086.82,2.09,-48.38,56.7,1.28,-2.22,127,3171.46,521.76,"Record SIP domestic inflows, capex boom & small/midcap super-rally"
8,2023-24 Broad-Based Alpha Expansion Bull,Bull,2023-04-03,2024-09-27,366,Top 50 Champions,Strategy 1,Strategy 1 (Classic Breakout),50.47,101839.46,1.84,-48.63,37.4,1.11,-5.6,203,5949.53,459.87,"Record SIP domestic inflows, capex boom & small/midcap super-rally"
9,2024-26 Late-Stage Valuation Consolidation,Consolidation,2024-09-30,2026-09-09,482,Top 101 Winners,Strategy 2,Strategy 2 (Dynamic Adaptive),-9.22,98395.91,-1.6,7.62,27.1,0.98,-26.37,686,21351.39,0.0,"Record high valuations, FII profit-taking & broad consolidation"
9,2024-26 Late-Stage Valuation Consolidation,Consolidation,2024-09-30,2026-09-09,482,Top 50 Champions,Strategy 2,Strategy 2 (Dynamic Adaptive),-9.22,96953.7,-3.05,6.17,29.0,0.95,-14.5,366,11912.14,0.0,"Record high valuations, FII profit-taking & broad consolidation"
9,2024-26 Late-Stage Valuation Consolidation,Consolidation,2024-09-30,2026-09-09,482,Top 50 Champions,Strategy 3,Strategy 3 (Hybrid Optimal),-9.22,107724.62,7.72,16.94,55.9,1.42,-3.95,270,6959.25,1931.32,"Record high valuations, FII profit-taking & broad consolidation"
9,2024-26 Late-Stage Valuation Consolidation,Consolidation,2024-09-30,2026-09-09,482,Top 50 Champions,Strategy 1,Strategy 1 (Classic Breakout),-9.22,112978.35,12.98,22.2,35.9,1.31,-12.73,362,13172.41,3244.58,"Record high valuations, FII profit-taking & broad consolidation"
